SMILE	Compound_IDs	Class
CC(C)(C)OC(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)[C@H](C2=CC=CC=C2)C1	CHEMBL3892401, 214504	1
CC(C)(C)OC(=O)N1CCN(C(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	CHEMBL4070612, 50248798	0
CC(C)(C)OC(=O)N1CCN(C(=O)CCC(=O)C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)CC1	CHEMBL1935268, 50360937	1
CC(C)(C)OC(=O)N1CCN(C(=O)OCC2=CC=CC=C2)CC1CC1=NNC(=O)C2=C1CCCC2	CHEMBL3925864, 214195	0
CC(C)(C)OC(=O)N1CCNCC1CC1=NNC(=O)C2=C1CCCC2	214194, CHEMBL3894294	0
CC(C)(C)OC(=O)N1CC[C@H](C(=O)NC2=CC(CN3C(=O)NC(=O)C4=CC=CC=C43)=CC=C2Br)C1	50268283, CHEMBL4087554	0
CC(C)(C)OC(=O)N1CC[C@H](C(=O)NC2=CC(CN3C(=O)NC(=O)C4=CC=CC=C43)=CC=C2Cl)C1	50268282, CHEMBL4082114	1
CC(C)(C)OC(=O)N1CC[C@H](C(=O)NC2=CC(CN3C(=O)NC(=O)C4=CC=CC=C43)=CN=C2Cl)C1	50268286, CHEMBL4068890	0
CC(C)(C)OC(=O)N1CC[C@H](C(=O)NC2=CC(CN3C(=O)NC(=O)C4=CC=CC=C43)=CN=C2F)C1	50268285, CHEMBL4092324	1
CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1CN2C1=CC=C2NC(=O)C3=CC=CC=C3C2=N1	50130591, CHEMBL323384	0
CC(C)(C)OC(=O)NC(CCCC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1)C(=O)OC(C)(C)C	CHEMBL246193, 50197593	1
CC(C)(C)OC(=O)NC1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)CC1	CHEMBL3900920, 214576	1
CC(C)(C)OC(=O)NC1CCN(C(=O)C2=NC3=C(C(N)=O)C=C(F)C=C3N2)CC1	CHEMBL4085866, 50248797	1
CC(C)(C)OC(=O)NC1CCN(C(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)C1	CHEMBL4065317, 50248792	0
CC(C)(C)OC(=O)NC1CCN(C(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	CHEMBL4073487, 50248733	0
CC(C)(C)OC(=O)NCC1=NC2=C3C(=CC=CC3=N1)C(=O)NN2	CHEMBL3644613, 139685	1
CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)NCC1=CC=C2NC3=C4CCCC4=C4C(=O)NCC4=C3C2=C1	50179071, CHEMBL205135	0
CC(C)(C)OC(=O)NCCNC(=O)CCC(=O)C1=CC=C2NC3=C4CCCC4=C4C(=O)NC(=O)C4=C3C2=C1	50360939, CHEMBL1935270	1
CC(C)(C)OC(=O)NCCOCCOCC(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	CHEMBL4444472	1
CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N1CC2=NC3=CC=CC4=C3C2=C(C1)NNC4=O	CHEMBL3963289, 207618	1
CC(C)(C)OC(=O)[C@@H]1CCCN1C(=O)CCC(=O)C1=CC=C2NC3=C4CCCC4=C4C(=O)NC(=O)C4=C3C2=C1	50360942, CHEMBL1935273	1
CC(C)(C)OC(=O)[C@@H]1CCCN1CC(=O)C1=CC=C2NC3=C4CCCC4=C4C(=O)NC(=O)C4=C3C2=C1	50360929, CHEMBL1935260	1
CC(C)(C)S(=O)(=O)CC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL247580, 50197583	1
CC(C)(C)[C@@H]1NCCC2C=C(C3=NC4=CC(F)=CC(C(=O)O)=C4N3)SC21	50464932, CHEMBL4286249	1
CC(C)(C)[C@H]1NCCC2C=C(C3=NC4=CC(F)=CC(C(=O)O)=C4N3)SC21	50464933, CHEMBL4278332	1
CC(C)(C)[Si](C)(C)OCCCN1CCN(C(=O)C2=CC(CN3C(=O)NC(=O)C4=CC=CC=C43)=CC=C2F)CC1=O	CHEMBL4569417, 50536939	1
CC(C)(C1=CC=CC=C1)C1=NN=C([C@H]2CC[C@H](NC(=O)CCC3=NC(=O)C4=CC=CC=C4N3)CC2)O1	259627	0
CC(C)(C1=NC2=C(C(N)=O)C=CC=C2N1)N1CCCC1	50251661, CHEMBL481084	1
CC(C)(C1=NC2=C(C(N)=O)C=CC=C2N1)N1CCCCC1	50251695, CHEMBL479937	1
CC(C)(CC(=O)N1CCC(C(=O)C2=CC=C(C(=O)O)C=C2)CC1)CC1=CC2=CC=CC=C2C(=O)N1	435444	0
CC(C)(CC(=O)N1CCC(C(=O)C2=CC=CC(C(=O)O)=C2)CC1)CC1=CC2=CC=CC=C2C(=O)N1	435445	0
CC(C)(CC(=O)NC1=CC=CC(C(N)=O)=C1)C(=O)O	CHEMBL3414766, 50079616	0
CC(C)(N)C(=O)N1CC2=NC3=CC(F)=CC4=C3C2=C(C1)NNC4=O	CHEMBL3905040, 207620	1
CC(C)(N)C(=O)N1CC2=NC3=CC=CC4=C3C2=C(C1)NNC4=O	CHEMBL3970252, 207617	1
CC(C)(N)C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL481097, 50251582	1
CC(C)(NC(=O)OCC1=CC=CC=C1)C(=O)N1CCC2=C(C1)N=C1C=CC=C3C(=O)NNC2=C31	CHEMBL3913432, 224642	1
